,county,state,percentage16_Donald_Trump,percentage16_Hillary_Clinton,total_votes16,percentage20_Donald_Trump,percentage20_Joe_Biden,total_votes20,cases,deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Poverty
4608,Williston,VT,,,,0.247,0.72,6887.0,,,,,,,,,,,,
4609,Wilmington,MA,,,,0.435,0.541,14682.0,,,,,,,,,,,,
4610,Wilmington,VT,,,,0.295,0.683,1156.0,,,,,,,,,,,,
4611,Wilmot,NH,,,,0.383,0.61,956.0,,,,,,,,,,,,
4612,Wilton,CT,,,,0.326,0.655,11715.0,,,,,,,,,,,,
4613,Wilton,ME,,,,0.511,0.447,2177.0,,,,,,,,,,,,
4614,Wilton,NH,,,,0.441,0.538,2473.0,,,,,,,,,,,,
4615,Winchendon,MA,,,,0.517,0.449,5144.0,,,,,,,,,,,,
4616,Winchester,CT,,,,0.545,0.449,5133.0,,,,,,,,,,,,
4617,Winchester,MA,,,,0.273,0.701,13471.0,,,,,,,,,,,,
4618,Winchester,NH,,,,0.489,0.488,2019.0,,,,,,,,,,,,
4619,Windham,ME,,,,0.461,0.505,11436.0,,,,,,,,,,,,
4620,Windham,NH,,,,0.525,0.461,9900.0,,,,,,,,,,,,
4621,Windsor,CT,,,,0.234,0.753,17514.0,,,,,,,,,,,,
4622,Windsor,MA,,,,0.347,0.639,579.0,,,,,,,,,,,,
4623,Windsor,ME,,,,0.625,0.332,1438.0,,,,,,,,,,,,
4624,Windsor,NH,,,,0.705,0.256,129.0,,,,,,,,,,,,
4625,Windsor Locks,CT,,,,0.45,0.534,7021.0,,,,,,,,,,,,
4626,Winhall,VT,,,,0.27,0.702,674.0,,,,,,,,,,,,
4627,Winn,ME,,,,0.7,0.29,207.0,,,,,,,,,,,,
4628,Winooski,VT,,,,0.158,0.811,3705.0,,,,,,,,,,,,
4629,Winslow,ME,,,,0.504,0.467,4679.0,,,,,,,,,,,,
4630,Winter Harbor,ME,,,,0.544,0.441,329.0,,,,,,,,,,,,
4631,Winterport,ME,,,,0.532,0.444,2326.0,,,,,,,,,,,,
4632,Winterville Plt.,ME,,,,0.576,0.392,125.0,,,,,,,,,,,,
4633,Winthrop,MA,,,,0.37,0.611,9907.0,,,,,,,,,,,,
4634,Winthrop,ME,,,,0.441,0.525,3737.0,,,,,,,,,,,,
4635,Wiscasset,ME,,,,0.481,0.482,2313.0,,,,,,,,,,,,
4636,Woburn,MA,,,,0.378,0.604,22370.0,,,,,,,,,,,,
4637,Wolcott,CT,,,,0.652,0.333,10002.0,,,,,,,,,,,,
4638,Wolcott,VT,,,,0.33,0.636,926.0,,,,,,,,,,,,
4639,Wolfeboro,NH,,,,0.496,0.493,4777.0,,,,,,,,,,,,
4640,Woodbridge,CT,,,,0.316,0.672,5739.0,,,,,,,,,,,,
