Barnstable,MA,0.406,0.54,132667,0.4,0.58,27051,2051,185,213900,102152,111748,2.7,90.2,2.7,0.4,1.5,0.1,7.5
Barnwell,SC,0.516,0.464,9479,0.532,0.457,10321,887,25,21788,10369,11419,2.3,51.2,45.1,0.1,0.4,0,27
Barren,KY,0.729,0.231,18483,0.729,0.255,20079,1358,13,43418,21123,22295,3,90.7,3.9,0.2,0.5,0,22.9
Barron,WI,0.604,0.35,22514,0.623,0.363,25346,1320,7,45358,22759,22599,2.4,93.8,1.2,0.8,0.7,0,11.5
Barrow,GA,0.732,0.228,28828,0.705,0.275,38017,2672,51,75099,37033,38066,10,73,11.1,0.1,3.6,0,13.2
Barry,MI,0.634,0.301,30265,0.654,0.329,35914,803,6,59607,29958,29649,2.7,94.6,0.4,0.2,0.5,0,9.3
Barry,MO,0.782,0.186,14604,0.797,0.189,15598,912,9,35398,17782,17616,9,86.5,0.3,0.6,1.5,0,20.5
Bartholomew,IN,0.637,0.304,32389,0.617,0.356,36299,1597,59,81024,40688,40336,6.5,83.2,1.7,0.2,6.3,0.1,12.4
Barton,KS,0.77,0.181,10088,0.774,0.21,10961,803,7,27067,13445,13622,14.5,82,1.1,0.3,0.1,0.2,15.7
Barton,MO,0.836,0.134,5932,0.85,0.139,6077,453,4,11942,5924,6018,2.5,92.7,0.2,1.9,0.6,0,20.9
Bartow,GA,0.761,0.209,39263,0.747,0.24,50465,3714,96,102623,50888,51735,8.2,78.2,10.5,0.2,0.9,0,14.2
Bastrop,TX,0.577,0.374,28250,0.558,0.421,36709,2023,32,80306,40845,39461,36,53.7,7.7,0.4,0.9,0,13.3
Bates,MO,0.748,0.202,8021,0.782,0.198,8435,271,8,16405,8010,8395,2.1,94.5,1.2,0.4,0.2,0.1,14.3
Bath,KY,0.672,0.297,4583,0.708,0.28,5627,138,1,12189,6012,6177,1.5,95.4,1,0.1,0.3,0,24
Bath,VA,0.69,0.269,2243,0.726,0.268,2513,26,0,4458,2311,2147,5.7,85.3,2.7,0,0.3,0,9.3
Baxter,AR,0.743,0.211,19730,0.754,0.221,20968,776,11,41093,19857,21236,2.1,95.1,0.2,0.5,0.4,0,12.6
Bay,FL,0.712,0.249,87151,0.709,0.275,93131,6879,134,180117,89542,90575,6,77.3,10.7,0.7,2.3,0,15.4
Bay,MI,0.535,0.409,52932,0.547,0.437,60985,1602,65,105350,51875,53475,5.2,90.4,1.5,0.2,0.6,0,16.3
Bayfield,WI,0.435,0.522,9491,0.424,0.565,10880,280,2,15004,7642,7362,1.7,85,0.6,10,0.5,0,11
Baylor,TX,0.849,0.128,1492,0.88,0.107,1680,46,3,3602,1740,1862,10.1,83.8,3.2,0,0,0,13.1
Beadle,SD,0.658,0.282,6772,0.679,0.298,7081,1397,15,18163,9219,8944,9.1,79.5,0.4,1.4,9.3,0,23.7
Bear Lake,ID,0.752,0.087,2928,0.875,0.109,3215,77,1,5942,2928,3014,4.1,93.7,0.8,0.2,0.7,0,14.5
Beaufort,NC,0.614,0.369,23599,0.626,0.366,26128,1442,45,47316,22596,24720,7.6,65.8,25.6,0,0.1,0,19.1
Beaufort,SC,0.549,0.406,72770,0.544,0.444,97835,6214,93,179316,88524,90792,11.3,67.4,18.1,0.2,1.2,0.1,11.9
Beauregard,LA,0.812,0.159,15078,0.83,0.155,16357,1086,40,36598,18631,17967,3.7,80,12.7,0.6,0.4,0,17.3
Beaver,OK,0.888,0.079,2237,0.904,0.087,2178,99,1,5445,2701,2744,22.1,76.4,0.1,0.6,0,0,11.7
Beaver,PA,0.583,0.382,79036,0.581,0.406,93083,2343,140,168161,81606,86555,1.5,89.7,5.9,0,0.5,0,10.8
Beaver,UT,0.74,0.106,2484,0.869,0.116,3076,0,0,6414,3296,3118,10.9,88.7,0,0.1,0.2,0,10.5
Beaverhead,MT,0.691,0.238,4694,0.693,0.284,5661,284,1,9360,4694,4666,4.2,91.3,0.1,2,0.6,0,16.1
Becker,MN,0.637,0.305,17090,0.641,0.339,19418,696,4,33552,16672,16880,1.9,86.6,0.5,7.4,0.6,0,12.7
Beckham,OK,0.835,0.127,7529,0.851,0.132,7948,949,11,22971,12263,10708,14.2,75.7,3.3,1.4,0.9,0.1,12.6
Bedford,PA,0.828,0.154,23504,0.835,0.158,27574,462,7,48891,24404,24487,1.1,96.9,0.4,0.1,0.2,0,13.6
Bedford,TN,0.749,0.221,15300,0.752,0.233,19039,1830,23,46854,23127,23727,11.8,77.8,6.6,0.1,0.4,0.1,16.9
Bedford,VA,0.725,0.231,42186,0.734,0.251,48484,1308,18,77319,38012,39307,2,88.2,7,0.1,1.3,0,8.9
Bee,TX,0.561,0.407,8458,0.638,0.349,9405,1868,39,32729,19883,12846,58.2,32.2,8.2,0.5,0.5,0,19.7
Belknap,NH,0.56,0.392,34497,,,,248,5,60383,29705,30678,1.6,95.3,0.5,0.2,1,0,9.1
Bell,KY,0.799,0.177,9718,0.81,0.178,10044,825,17,27469,13385,14084,0.3,94.5,3.3,0.1,0.2,0,38
Bell,TX,0.551,0.4,93999,0.533,0.445,125867,6560,100,336506,168147,168359,24,47.2,21,0.3,2.8,0.7,14.3
