county,state,total population,men,women,hispanic_percentile,white_percentile,black_percentile,native_percentile,asian_percentile,pacific_percentile,poverty_percentile
Wayne,IA,6405,3136,3269,0.5,96.5,0.7,0.3,0,0,15.9
Webster,IA,36945,18984,17961,4.5,88.1,4.6,0.3,1.3,0,16.2
Winnebago,IA,10545,5142,5403,4.2,92.3,1.1,0.2,1.2,0,10.1
Winneshiek,IA,20575,10306,10269,2.2,95.2,1,0.2,1.1,0,8
Woodbury,IA,102397,50496,51901,15.8,74.7,2.9,1.4,2.8,0.2,14
Worth,IA,7502,3734,3768,2.8,94.7,1.1,0,0.3,0,10.1
Wright,IA,12864,6431,6433,11.1,86.7,0.5,0,0.4,0,12.6
Ada,ID,435117,217999,217118,7.9,85.2,1.2,0.4,2.6,0.1,11.8
Adams,ID,3946,2021,1925,3.3,92.7,0.3,1.2,0,0.2,13.8
Bannock,ID,84113,41867,42246,8.3,84.5,0.6,2.7,1.2,0.2,17.6
Bear Lake,ID,5942,2928,3014,4.1,93.7,0.8,0.2,0.7,0,14.5
Benewah,ID,9050,4568,4482,3.4,84.7,0.2,8.1,1,0.2,15.8
Bingham,ID,45369,22732,22637,17.9,74,0.3,4.9,0.9,0,13.1
Blaine,ID,21583,11040,10543,21,76.5,0.3,0,1,0,14.8
Boise,ID,6968,3678,3290,4.1,91.8,0.2,1,0.7,0,11.3
Bonner,ID,41855,20980,20875,2.9,93.6,0.1,0.6,0.7,0.1,14
Bonneville,ID,110404,55082,55322,12.7,83.6,0.5,0.3,0.8,0.2,11.9
Boundary,ID,11323,5655,5668,4.6,90.9,0.2,1.3,0.5,0.4,18.3
Butte,ID,2613,1350,1263,2.5,94.6,2.5,0,0,0,16.2
Camas,ID,886,443,443,9.3,90.4,0,0,0,0,22.3
Canyon,ID,207027,102480,104547,24.9,70.9,0.4,0.7,0.8,0.2,17.1
Caribou,ID,6862,3483,3379,5.4,93.5,0,0.1,0,0,9.4
Cassia,ID,23472,11966,11506,27,70.4,0.1,0.9,0.6,0.1,14.7
Clark,ID,1055,566,489,42,51.4,0.2,5.7,0,0,24.2
Clearwater,ID,8533,4742,3791,3.9,91,0.2,2.1,0.5,0.4,13.9
Custer,ID,4141,2164,1977,4,92.2,0,1.1,0,0,18.9
Elmore,ID,26232,13651,12581,16.4,73.3,2.9,1.4,3.1,0.2,14.9
Franklin,ID,13120,6686,6434,6.7,91.3,0.3,0.6,0,0.1,12.2
Fremont,ID,12889,6685,6204,12.5,85.1,0.2,0.3,0.1,0.2,11.9
Gem,ID,16850,8331,8519,8.3,88,0,0.9,0.7,0,20.7
Gooding,ID,15110,7737,7373,28.8,68.1,0.1,1.1,0.5,0.2,15.9
Idaho,ID,16275,8509,7766,3.2,91.3,0.1,2.9,0.3,0.1,13.5
Jefferson,ID,27410,13911,13499,10.4,87.1,0.1,0.3,0.3,0.2,9.5
Jerome,ID,23039,11619,11420,34.5,63.1,0.1,0.3,0.4,0.3,16.3
Kootenai,ID,150128,74161,75967,4.4,91,0.4,1.3,0.7,0.1,12.6
Latah,ID,38697,19813,18884,4.2,89.4,0.7,0.8,2.6,0,22.5
Lemhi,ID,7755,3906,3849,3.2,93.3,0.2,0.6,0.2,0,17.1
Lewis,ID,3824,1918,1906,4.3,85.6,0.1,6.8,0.8,0,15.3
Lincoln,ID,5296,2735,2561,29.8,67.3,0,0.5,0.2,0,11.5
Madison,ID,38241,19272,18969,7.1,89,0.6,0,1.1,0.1,31.8
Minidoka,ID,20448,10304,10144,34.4,63.1,0.2,0.5,0.4,0,17.9
Nez Perce,ID,40014,19811,20203,3.7,87.2,0.4,5.4,0.9,0.1,14.4
Oneida,ID,4284,2136,2148,4.2,93.7,0.1,0.4,0,0,12.6
Owyhee,ID,11384,5817,5567,26.6,68.2,0.1,3.1,0.2,0,23.3
Payette,ID,22839,11451,11388,17,78.8,0.4,0.6,0.6,0,15.5
Power,ID,7667,3951,3716,32.9,62.5,0.3,3.4,0,0,11.6
Shoshone,ID,12490,6245,6245,3.4,91.8,0.3,2.2,0.5,0,17.4
Teton,ID,10776,5692,5084,17,81.1,0.2,0.2,0.1,0,8.3
Twin Falls,ID,82248,40454,41794,15.6,80.2,0.6,0.8,1.6,0.1,14.4
Valley,ID,10104,5148,4956,4.4,94.7,0.1,0.2,0.1,0,10.4
Washington,ID,9996,4940,5056,17.2,78.7,0,0.8,1,0,15.7
Adams,IL,66787,32698,34089,1.5,92,3.9,0.2,0.8,0.1,13.1
Alexander,IL,6776,3258,3518,1,61.8,34.6,0.6,0.2,0,33.4
Bond,IL,17034,8767,8267,3.5,87.8,6.1,0.2,1.2,0,15.7
Boone,IL,53638,26755,26883,21,74,2.1,0.3,1.2,0,10.6
Brown,IL,6791,4360,2431,3.6,73.6,21.3,0,0.6,0,11.6
Bureau,IL,33619,16506,17113,8.8,88.4,0.8,0.1,0.8,0,12.6
Calhoun,IL,4897,2453,2444,1.1,96.7,0.3,0.1,0.9,0,12.8
Carroll,IL,14704,7288,7416,3.6,93.4,1.2,0.1,0.7,0,11.3
Cass,IL,12880,6529,6351,18.8,76.2,3.9,0,0.3,0,13.1
Champaign,IL,207946,103843,104103,5.7,68.3,13,0.1,10.3,0.1,21.4
Christian,IL,33562,17040,16522,1.6,95.2,1.6,0.3,0.6,0.1,12.8
Clark,IL,15924,7827,8097,1.5,96.7,0.3,0.1,0.4,0,14.3
Clay,IL,13393,6602,6791,1.4,96.4,0.7,0.1,0.7,0,14
Clinton,IL,37640,19549,18091,3.1,91.6,3.5,0.3,0.6,0,9
Coles,IL,52540,25395,27145,2.4,91,3.8,0.2,1.2,0,21
Cook,IL,5238541,2540704,2697837,25.1,42.7,23.4,0.1,6.9,0,15.9
Crawford,IL,19214,10067,9147,2.9,91,4.1,0.1,0.4,0,11.9
Cumberland,IL,10899,5453,5446,1.1,96.7,0.1,0.2,0.3,0.1,14.3
De Witt,IL,16176,8085,8091,2.6,89.1,0.4,0.2,0.1,0.2,13.3
DeKalb,IL,104473,51739,52734,10.8,77.6,7.1,0,2.4,0,18.1
Douglas,IL,19830,9780,10050,7.2,90.5,0.3,0.3,0.7,0.1,12.1
DuPage,IL,931826,457327,474499,14.1,67.9,4.6,0.1,11.3,0,6.8
Edgar,IL,17603,8643,8960,1.1,97.2,0.6,0.2,0.4,0,15.4
Edwards,IL,6570,3218,3352,1.3,96.7,0.4,0,0.9,0,11.5
Effingham,IL,34164,17021,17143,1.9,96,0.6,0.1,0.2,0,11.3
Fayette,IL,21980,11751,10229,1.7,91.8,5.1,0.3,0.5,0,17.8
Ford,IL,13470,6647,6823,3,94.3,0.9,0.4,0.5,0,15.7
Franklin,IL,39302,19302,20000,1.6,96,0.6,0.2,0.5,0.1,19.9
Fulton,IL,35733,18673,17060,2.9,92,3.8,0.1,0.2,0,15.5
Gallatin,IL,5226,2475,2751,1.1,95.8,0.3,0.5,0.3,0,16.6
Greene,IL,13311,6682,6629,0.4,96.7,1.3,0.2,0.2,0,17.9
Grundy,IL,50333,25154,25179,9.4,87.1,1.3,0,0.7,0,9.4
Hamilton,IL,8259,4045,4214,0.3,98.9,0.6,0.1,0.1,0,13.9
Hancock,IL,18264,9083,9181,1.4,96.3,0.7,0,0.4,0,11.2
Hardin,IL,4161,2171,1990,1.8,93.1,3.8,0.2,0.1,0,16.6
Henderson,IL,6927,3404,3523,1.5,96.3,0.1,0.3,0.7,0,11.3
Henry,IL,49649,24610,25039,5.5,90.8,1.8,0.1,0.6,0,12.5
Iroquois,IL,28457,13878,14579,6.6,90.3,1.1,0,0.4,0,15.5
Jackson,IL,59115,29460,29655,4.3,74.5,14.5,0.2,3.4,0,27.9
Jasper,IL,9608,4776,4832,1.5,97.2,0.4,0.1,0,0,12.4
Jefferson,IL,38358,19691,18667,2.4,85.8,8.5,0.1,1.1,0,18.9
Jersey,IL,22215,10855,11360,1.3,96.1,0.5,0.1,0.4,0.1,9.4
Jo Daviess,IL,22046,11081,10965,2.9,94.9,0.4,0.2,0.5,0.1,7.6
Johnson,IL,12899,7342,5557,3.3,84.7,11.1,0.1,0.1,0,13.9
Kane,IL,529402,263392,266010,31.6,57.6,5.4,0.1,3.9,0,10.4
Kankakee,IL,110801,54425,56376,10.1,72.2,15.1,0.2,1,0,15.1
Kendall,IL,122933,60801,62132,17.6,71.2,6.4,0.1,3.2,0,5.6
Knox,IL,51374,26079,25295,5.5,83.4,8.4,0,1,0,18.1
Lake,IL,704476,351847,352629,21.1,62.8,6.6,0.1,7.1,0,8.5
LaSalle,IL,111151,55819,55332,9.3,86.1,2.5,0.2,0.8,0,13.6
Lawrence,IL,16457,9034,7423,3.8,84.6,8.6,0.3,0.4,0,16.4
Lee,IL,34670,18375,16295,5.9,86.7,5.2,0.2,0.7,0.1,11.8
Livingston,IL,36812,18890,17922,4.4,89.2,4,0,0.7,0,13.3
Logan,IL,29488,14420,15068,3.4,86.5,6.7,0.1,0.8,0,9.2
Macon,IL,107587,51439,56148,2.2,76.7,13.9,0.3,1.1,0,16.6
Macoupin,IL,45960,22691,23269,1.1,96.3,0.8,0.1,0.4,0,13.3
Madison,IL,266153,129987,136166,3.1,85.5,8.4,0.2,0.9,0,13.5
Marion,IL,38305,18781,19524,1.9,91.5,3.4,0.2,0.7,0,17.8
Marshall,IL,11925,5938,5987,3.1,94.9,0.4,0.1,0.3,0.2,10.3
Mason,IL,13904,6948,6956,1,96.7,0.6,0.1,0.2,0,13.9
Massac,IL,14594,7017,7577,2.7,88.7,6.1,0.1,0.2,0,18.4
McDonough,IL,31597,15563,16034,2.7,88.2,4.8,0.2,2.2,0,22.3
McHenry,IL,308043,153503,154540,12.5,81.9,1.2,0.1,2.7,0,7.3
McLean,IL,173231,84327,88904,4.7,79.8,8,0.1,5.1,0,14.5
Menard,IL,12416,6080,6336,1.4,95.8,0.5,0.1,0.3,0.4,11.4
Mercer,IL,15794,7830,7964,2.2,95.8,0.6,0.1,0.3,0,11.4
Monroe,IL,33739,16585,17154,1.5,96.5,0.4,0.1,0.7,0,5.3
Montgomery,IL,29173,15199,13974,1.7,90.9,6,0.2,0.1,0,15.6
Morgan,IL,34442,17319,17123,2.3,89,6.1,0.2,0.7,0,14.9
Moultrie,IL,14711,7173,7538,1.2,97,0.6,0.2,0.2,0,12.1
Ogle,IL,51619,25702,25917,9.8,87.3,1.1,0.1,0.5,0,11.1
Peoria,IL,186145,90211,95934,4.6,70.4,17.4,0.2,3.9,0,15.9
Perry,IL,21467,11832,9635,3,86.3,8.7,0.3,0.6,0,14.7
Piatt,IL,16433,8122,8311,1.3,92.7,1.1,0.1,0.4,0,5.4
Pike,IL,15930,7907,8023,1.3,95.5,1.6,0.2,0.3,0,14.9
Pope,IL,4360,2322,2038,1.9,90.5,4.9,0.2,1,0,12.7
Pulaski,IL,5691,2760,2931,2.1,63.6,30.5,0.2,0.3,0,17.1
Putnam,IL,5771,2957,2814,5.3,92.4,0.3,0,0.4,0,8.9
Randolph,IL,32829,18235,14594,3.1,85,10.6,0.1,0.4,0,12.3
Richland,IL,15953,7919,8034,1.7,95.6,0.4,0.3,0.7,0,15
Rock Island,IL,146205,72053,74152,12.6,72.6,9.6,0.2,2.4,0,14.6
Saline,IL,24430,12028,12402,1.7,91.6,3.4,0.1,0.7,0,20.6
Sangamon,IL,198134,95103,103031,2.2,80.8,12.6,0.1,1.9,0,15.6
Schuyler,IL,7181,3894,3287,0.3,93.4,5.5,0,0,0,21.5
Scott,IL,5109,2503,2606,1.2,97.2,0.1,0.5,0.1,0.1,14.9
Shelby,IL,21906,10885,11021,1,97.4,0.7,0.2,0.4,0,12.1
St. Clair,IL,264433,127649,136784,3.9,62.1,29.7,0.2,1.4,0,17
Stark,IL,5551,2739,2812,1.4,96.1,0.7,0,0.8,0,14
Stephenson,IL,45839,22183,23656,3.6,83.3,9.5,0.1,0.8,0,16.1
Tazewell,IL,134695,66456,68239,2.2,94.2,1.2,0.1,1,0,8
Union,IL,17267,8712,8555,5,91.4,0.7,0,0.2,0,16.8
Vermilion,IL,79207,39325,39882,4.8,78.8,13.9,0.3,0.9,0,19.8
Wabash,IL,11568,5684,5884,2,94.9,0.8,0.1,1.2,0,13.1
Warren,IL,17429,8439,8990,9.2,84.4,2.8,0,2.3,0,13.8
Washington,IL,14260,7182,7078,1.4,96.2,0.5,0.3,0.4,0.1,9.7
Wayne,IL,16569,8209,8360,1.4,96.4,0.6,0.2,0.4,0,15.8
White,IL,14186,6957,7229,1.4,96.6,0.4,0.1,0.7,0.1,13.9
Whiteside,IL,56823,27990,28833,11.8,84.9,1.6,0.1,0.5,0.1,11.1
Will,IL,687727,341719,346008,16.8,64.7,11,0.1,5.2,0,7.4
Williamson,IL,67477,33646,33831,2.5,90.1,4,0.2,1,0,15.2
Winnebago,IL,287512,140454,147058,12.2,70.2,12.4,0.1,2.5,0,15.3
Woodford,IL,38942,19374,19568,1.7,95.7,0.6,0.1,0.8,0,7.4
Adams,IN,35018,17361,17657,4.4,93.7,0.9,0,0.4,0,18.9
Allen,IN,367747,179414,188333,7.2,74.6,11.3,0.2,3.5,0,14.7
Bartholomew,IN,81024,40688,40336,6.5,83.2,1.7,0.2,6.3,0.1,12.4
Benton,IN,8685,4349,4336,5.1,92.8,0.9,0,0.2,0,14.9
Blackford,IN,12214,6047,6167,1.5,96,0.2,0.2,0.5,0,12.8
Boone,IN,63013,31211,31802,2.7,91.6,1.6,0.2,2.6,0,6.1
Brown,IN,15007,7439,7568,1.6,95.9,0.5,0,0.7,0,10.6
Carroll,IN,19994,9980,10014,3.9,94.2,0.5,0.2,0.1,0,10.2
Cass,IN,38248,19091,19157,14.6,81,1.4,0.3,1.5,0,13.9
Clark,IN,114893,55952,58941,5.3,83.9,6.7,0.1,0.7,0,9.7
Clay,IN,26375,12903,13472,1.3,96.4,0.4,0.1,0.3,0,13.9
Clinton,IN,32455,16044,16411,15.2,83,0.6,0.2,0.3,0.1,13.3
Crawford,IN,10598,5355,5243,1.5,96.4,0.2,0.6,0,0,17.8
Daviess,IN,32777,16600,16177,4.8,92.3,1.6,0,0.2,0,13
Dearborn,IN,49564,24774,24790,1.2,96.3,0.8,0.2,0.4,0,10.1
Decatur,IN,26480,13112,13368,1.9,94.9,0.7,0.1,1.6,0,11.4
DeKalb,IN,42524,21161,21363,2.8,95.1,0.2,0.1,0.3,0,12.5
Delaware,IN,115938,55903,60035,2.3,87.1,7.1,0.1,1.3,0,21.2
Dubois,IN,42379,21223,21156,7.1,91.2,0.6,0.1,0.6,0,10
Elkhart,IN,202924,100359,102565,15.4,75.3,5.4,0.1,1,0,13.8
Fayette,IN,23426,11562,11864,1,95.8,2.5,0,0.1,0,18.2
Floyd,IN,76481,37092,39389,3.1,88.3,5.2,0.4,1.1,0,10.8
Fountain,IN,16620,8272,8348,2.4,95.6,0.4,0.2,0.1,0,12.6
Franklin,IN,22835,11415,11420,1.1,98.4,0.2,0,0.3,0,9.9
Fulton,IN,20296,9992,10304,5,92.3,1,0.5,0.3,0.1,13.3
Gibson,IN,33596,16841,16755,1.5,94.2,2,0.1,0.3,0,10.7
Grant,IN,67615,32360,35255,4.1,85.3,7.1,0.2,0.9,0,19.1
Greene,IN,32431,16040,16391,1.3,96.8,0.2,0,0.4,0,12.9
Hamilton,IN,309687,151395,158292,3.8,84.5,3.6,0.1,5.7,0,5
Hancock,IN,72776,35716,37060,2.2,93,1.9,0.1,0.8,0,7
Harrison,IN,39450,19790,19660,1.7,95.7,0.2,0.6,0.4,0,12.9
Hendricks,IN,158170,78924,79246,3.6,85.8,6,0.2,2.5,0,5.1
Henry,IN,48649,25252,23397,1.7,93.8,2.3,0.2,0.5,0,16.1
Howard,IN,82457,39889,42568,3.2,85.8,7,0.4,1.3,0,16.5
Huntington,IN,36520,17917,18603,2.2,95.2,0.8,0.3,0.8,0,11.6
Jackson,IN,43779,21861,21918,6.4,89.3,1.1,0.3,1.9,0,15.6
Jasper,IN,33448,16568,16880,5.9,91.7,0.7,0,0.4,0,9
Jay,IN,21107,10360,10747,3,95.1,0.3,0.1,0.5,0,17.9
Jefferson,IN,32293,15417,16876,2.6,93,2,0.2,0.8,0,13.7
Jennings,IN,27840,13983,13857,2.3,95.4,1.4,0.2,0.4,0,13.9
Johnson,IN,149359,73340,76019,3.5,90.3,2.3,0.2,2.8,0,9.4
Knox,IN,37763,19265,18498,1.8,92.9,3.1,0.1,0.8,0.1,15.6
Kosciusko,IN,78720,39206,39514,7.9,88.6,0.7,0.2,1,0,11.2
LaGrange,IN,38720,19659,19061,3.9,94.4,0.1,0.1,0.2,0,9.1
Lake,IN,488694,236337,252357,18.4,54.5,23.9,0.2,1.3,0,16.8
LaPorte,IN,110839,57212,53627,6.3,79.9,10.9,0.3,0.6,0,16.6
Lawrence,IN,45669,22621,23048,1.6,95.9,0.3,0.4,0.4,0,11.5
Madison,IN,129641,64805,64836,3.8,85.3,7.5,0.2,0.5,0,17.4
Marion,IN,939964,452538,487426,10.1,56.7,27.2,0.2,2.9,0,19.8
Marshall,IN,46752,23252,23500,9.7,88,0.6,0.1,0.5,0,11.5
Martin,IN,10219,5146,5073,0.4,97.2,0.5,0.7,0.2,0.2,13.3
Miami,IN,36035,19016,17019,3,89.3,5,0.8,0.6,0.1,16
Monroe,IN,144436,72005,72431,3.3,84.1,3,0.2,6.3,0,24.7
Montgomery,IN,38288,19432,18856,4.7,92.2,0.8,0.2,0.8,0,10.2
Morgan,IN,69533,34307,35226,1.5,96.3,0.4,0.1,0.7,0,11.8
Newton,IN,14056,7041,7015,6.1,91.5,0.1,0.1,0.6,0,14
Noble,IN,47421,23797,23624,10.2,87.6,0.4,0,0.6,0,9.3
Ohio,IN,5911,2967,2944,1,96.7,1.3,0.1,0.3,0,5
Orange,IN,19623,9687,9936,1.4,95.6,1.3,0.1,0.5,0,15
Owen,IN,20957,10629,10328,1.2,96.4,0.4,0.3,0.5,0,15.6
Parke,IN,17062,8178,8884,1.5,94.8,1,0.2,0,0.5,13.9
Perry,IN,19229,10336,8893,1.3,94.3,2.7,0.2,0.3,0,14.5
Pike,IN,12471,6256,6215,0.5,96.8,1,0,1,0,10.6
Porter,IN,167391,82696,84695,9.6,84,3.3,0.2,1.4,0.1,11
Posey,IN,25599,12776,12823,1.1,96.2,1.5,0,0.4,0,9.5
Pulaski,IN,12761,6458,6303,2.9,94.6,0.4,0.1,0.6,0,13.2
Putnam,IN,37543,19747,17796,2.5,91.9,3.1,0.2,1,0,11.6
Randolph,IN,25203,12278,12925,3.3,93.9,0.7,0,0.2,0,17
Ripley,IN,28372,14065,14307,1.8,95.6,0.5,0.5,1,0,10.5
Rush,IN,16765,8223,8542,1.5,96.1,1.4,0,0.1,0,18.3
Scott,IN,23722,11628,12094,2.1,95.8,0.3,0.2,0.4,0,13.7
Shelby,IN,44339,21933,22406,4,92.6,1,0.1,0.7,0,10.6
Spencer,IN,20610,10431,10179,2.9,95.1,0.6,0.2,0.2,0.1,9.7
St. Joseph,IN,268613,130472,138141,8.3,73.6,12.8,0.3,2.1,0.1,17.1
Starke,IN,22966,11295,11671,3.5,94.5,0.3,0.1,0.5,0,16.7
Steuben,IN,34459,17441,17018,3.5,94,0.2,0.1,0.5,0,10.1
Sullivan,IN,20900,11235,9665,1.7,92.1,3.7,0.2,0.8,0,15.6
Switzerland,IN,10617,5497,5120,1.4,95.7,0.8,0,0.5,0,19.7
Tippecanoe,IN,186081,94992,91089,8.1,77,4.7,0.1,8,0,20.9
Tipton,IN,15290,7632,7658,2.6,95.3,0.2,0,0,0.4,9.4
Union,IN,7225,3658,3567,0,95.8,0.1,0,0.5,0,8.2
Vanderburgh,IN,181831,87869,93962,2.5,84.1,9.1,0.2,1.2,0.1,18
Vermillion,IN,15644,7716,7928,1.1,96.8,0.4,0.3,0.2,0,13.4
Vigo,IN,107723,54651,53072,2.6,85.8,6.2,0.2,1.9,0,19.9
Wabash,IN,31848,15568,16280,2.5,94.5,0.9,0.7,0.2,0,13.3
Warren,IN,8269,4124,4145,1.5,96.5,0.5,0.2,0,0,9.5
Warrick,IN,61581,30490,31091,1.8,92.8,1.6,0.2,2.5,0,7.7
Washington,IN,27807,13783,14024,1.3,96.9,0.1,0.3,0.2,0,13.3
Wayne,IN,66972,32387,34585,2.8,88.5,5,0.2,1,0,18.2
Wells,IN,27832,13689,14143,2.8,95,0.7,0.2,0.5,0,11
White,IN,24279,12185,12094,7.9,89.8,0.4,0.2,0.2,0,9.8
Whitley,IN,33481,16716,16765,1.9,95.7,0.4,0.2,0.4,0,9.5
Allen,KS,12752,6318,6434,3.3,90.7,1.5,0.1,0.6,0.1,14.2
Anderson,KS,7840,3849,3991,0.7,95.2,0.2,3.5,0,0,13.6
Atchison,KS,16466,7957,8509,2.9,88.4,3.1,0.4,0.3,0.1,18.5
Barber,KS,4905,2525,2380,3.2,92.4,0.7,1.5,0.7,0,15.9
Barton,KS,27067,13445,13622,14.5,82,1.1,0.3,0.1,0.2,15.7
Bourbon,KS,14757,7315,7442,2.5,90.5,3.2,0.7,0.9,0,17.6
Brown,KS,9736,4680,5056,4.2,83.4,0.9,7.7,0.6,0.1,13.2
Butler,KS,66260,33449,32811,4.6,89.5,2.1,0.8,1.1,0,10.8
Chase,KS,2665,1345,1320,4.4,91.6,1.5,0,0,0,12.6
Chautauqua,KS,3425,1778,1647,3.4,86.7,0.4,5.3,0,0,14.3
Cherokee,KS,20501,10087,10414,2.4,88.6,0.4,3,0.2,0.5,13.7
Cheyenne,KS,2677,1324,1353,6.5,90.3,0,0,0.9,0,11.2
Clark,KS,2089,1073,1016,10.7,83.1,1,1.4,0.9,0,8.9
Clay,KS,8203,4051,4152,2.4,94.5,0.7,0.6,0.6,0,9.4
Cloud,KS,9191,4553,4638,3.2,93.3,0.7,0.3,0.3,0,11.9
Coffey,KS,8328,4197,4131,2.5,93.7,0.8,0.6,0.5,0,11.3
Comanche,KS,1741,841,900,8.4,90.8,0,0,0,0,8.1
Cowley,KS,35732,17973,17759,10.6,80.2,2.6,1.8,1.6,0,16
Crawford,KS,39099,19571,19528,5.3,87.4,2.4,0.5,1.8,0,21.1
Decatur,KS,2891,1444,1447,2.6,94.7,0.2,0.9,0.5,0,17.5
Dickinson,KS,19162,9572,9590,4.5,91.1,0.9,0.8,0.4,0,11.6
Doniphan,KS,7790,3952,3838,2.7,90.2,3.7,1.1,0.2,0,13.7
Douglas,KS,117806,58348,59458,6,79.1,4,2.2,4.8,0,18.7
Edwards,KS,2946,1520,1426,20.1,77.2,1.3,0,0.3,0,10.2
Elk,KS,2581,1271,1310,4.1,91,0.2,1.9,0.5,0,13.5
Ellis,KS,28877,14469,14408,5.6,90.2,0.9,0.2,1.4,0.1,16.7
Ellsworth,KS,6331,3576,2755,6,86.1,3.8,1.8,0.6,0,11.4
Finney,KS,37097,18913,18184,49,42.6,2.1,0.4,3.9,0,16.2
Ford,KS,34658,17933,16725,53.9,40.8,2.3,0.4,1.4,0,16.2
Franklin,KS,25599,12505,13094,4.1,91,1.5,0.3,0.3,0,12.5
Geary,KS,35796,19025,16771,15.6,57.2,16.8,0.7,3.1,0.8,14.9
Gove,KS,2632,1330,1302,2.7,94.6,0.1,0.9,0.8,0,9
Graham,KS,2561,1270,1291,3.2,88.8,4.1,0.1,0.7,0,12.3
Grant,KS,7716,4066,3650,46.8,51.8,0,0.3,0,0,10
Gray,KS,6004,3004,3000,15,84.3,0,0,0,0.2,8.5
Greeley,KS,1210,584,626,22.1,74.8,0.8,0.7,0.2,0,11.5
Greenwood,KS,6227,3121,3106,3.7,92.4,0.2,0.2,0,0,12.4
Hamilton,KS,2621,1381,1240,33.7,63.8,0.7,0.2,0,0,9.3
Harper,KS,5746,2928,2818,6.3,90.3,0.1,2.3,0.2,0,16.8
Harvey,KS,34683,17016,17667,11.7,83.3,1.8,0.3,0.6,0.2,11.2
Haskell,KS,4081,2015,2066,29.4,69.6,0,0.1,0.6,0,13.3
Hodgeman,KS,1875,935,940,7.7,87.9,0,0.1,3,0,8.4
Jackson,KS,13322,6641,6681,4.4,84.3,0.7,6.8,0.2,0.3,9.9
Jefferson,KS,18856,9556,9300,2.5,93.9,0.6,0.6,0,0,8.3
Jewell,KS,2963,1488,1475,2.4,95.5,0.4,0.3,0,0.1,14.2
Johnson,KS,578797,283504,295293,7.4,80.5,4.5,0.2,4.7,0,5.6
Kearny,KS,3931,1918,2013,31,65.9,0.5,0,0.4,0,13.2
Kingman,KS,7576,3835,3741,3.2,93.8,0.4,0.4,0,0,7.6
Kiowa,KS,2524,1230,1294,6.4,89.2,1,0.6,1.2,0,8.7
Labette,KS,20553,10142,10411,4.4,85.4,3.8,0.9,0.3,0,17.8
Lane,KS,1702,864,838,6.6,90.4,0.1,2.3,0,0.4,10.7
Leavenworth,KS,79359,42581,36778,6.8,79.2,8.4,0.4,1.5,0,9
Lincoln,KS,3121,1555,1566,3,95.7,0.7,0.1,0,0,8.4
Linn,KS,9602,4793,4809,2.6,93.9,0.7,1,0.3,0,17.4
Logan,KS,2790,1396,1394,5.6,90.6,0,0.4,0,0,8.9
Lyon,KS,33302,16165,17137,20.9,71.6,2.1,0.2,2,0,18.6
Marion,KS,12087,5997,6090,3.3,93.2,0.7,0.1,0.3,0,10.7
Marshall,KS,9859,4937,4922,2.4,95,0.3,0.3,0.3,0.3,8.9
McPherson,KS,28792,14238,14554,4,91.8,1,0.5,0.5,0,7.6
Meade,KS,4295,2163,2132,16.6,80.2,0.6,0,1,0,12.2
Miami,KS,32976,16160,16816,3,93.1,1.5,0.8,0.3,0,7.7
Mitchell,KS,6230,3199,3031,2.2,95.6,0.7,0.4,0.5,0,14.8
Montgomery,KS,33463,16580,16883,6.2,80.1,5.3,3,1,0.2,17.5
Morris,KS,5605,2752,2853,4.5,92.3,0.1,0.2,0.5,0,9.8
Morton,KS,2931,1534,1397,22.6,72.4,0.8,0,0.1,0,8
Nemaha,KS,10095,5083,5012,1.8,95.6,0.5,0.5,0.3,0,10.8
Neosho,KS,16209,7935,8274,5,90.6,1,0.4,0.4,0,21.4
Ness,KS,3001,1527,1474,10.7,88.5,0.2,0.2,0.3,0,8.9
Norton,KS,5527,3127,2400,5.1,89.5,2.4,0.7,0.4,0.3,11.6
Osage,KS,15894,7915,7979,3,93.7,0.7,0.2,0.2,0,12.8
Osborne,KS,3684,1836,1848,2,94.7,0.5,0.4,0.3,0,15.5
Ottawa,KS,5957,3118,2839,2.7,94.3,0.8,0.2,0.2,0,9.7
Pawnee,KS,6776,3842,2934,7.7,84.5,4.9,0.3,0.1,0,7.8
Phillips,KS,5446,2658,2788,3.2,94.1,0.4,0.3,0.3,0.1,8.1
Pottawatomie,KS,23188,11646,11542,5.3,89.9,0.6,1.3,0.8,0,9.7
Pratt,KS,9670,4860,4810,7.2,91.5,0.3,0.2,0.1,0,10.9
Rawlins,KS,2520,1300,1220,6,91.7,0.4,0.4,0.3,0,8.7
Reno,KS,63360,31944,31416,9.1,84.7,2.7,0.5,0.5,0,14
Republic,KS,4705,2290,2415,1.6,96.2,0.2,0.3,0.7,0,11.7
Rice,KS,9868,4983,4885,11.2,84,1.7,0.3,0.6,0.2,16.4
Riley,KS,75696,40410,35286,8.1,76.9,6.3,0.4,4.9,0.2,22
Rooks,KS,5148,2495,2653,2.5,94.5,0.7,0.2,0.4,0,11.3
Rush,KS,3119,1540,1579,3.1,94.3,0,0.2,0.6,0,6.7
Russell,KS,6987,3558,3429,2.8,93.2,1.2,0.2,0,1,13.8
Saline,KS,55334,27331,28003,10.9,80.5,3.1,0.3,2.4,0,12.6
Scott,KS,4981,2403,2578,17.8,79.5,0,1,0.9,0,4.3
Sedgwick,KS,510484,252399,258085,14.1,68.6,8.8,0.6,4.3,0,14.7
