county,state,total population,men,women,hispanic_percentile,white_percentile,black_percentile,native_percentile,asian_percentile,pacific_percentile,poverty_percentile
Baxter,AR,41093,19857,21236,2.1,95.1,0.2,0.5,0.4,0,12.6
Benton,AR,251823,124632,127191,16.3,74.2,1.6,1.4,3.7,0.5,10.5
Boone,AR,37212,18198,19014,2.3,94.2,0.4,1.1,0.5,0.1,15.8
Bradley,AR,10994,5262,5732,14.8,55.9,29.1,0,0,0,26.4
Calhoun,AR,5194,2693,2501,3.9,72.6,21.9,0.1,0.2,0.2,19.6
Carroll,AR,27782,13634,14148,14.8,80.6,0.5,0.6,1,0.6,15.7
Chicot,AR,11008,5401,5607,5.2,39.1,54.1,0.4,0.5,0,29.4
Clark,AR,22495,10697,11798,4.6,69.1,23.8,0.3,0.7,0,21.5
Clay,AR,15190,7421,7769,1.9,95.8,0.7,0.5,0,0,22.3
Cleburne,AR,25361,12494,12867,2.5,94.8,0.6,0.7,0.8,0,15.4
Cleveland,AR,8332,4189,4143,1.8,84.7,11,0.4,0.1,0,19.3
Columbia,AR,23992,11498,12494,2.5,59.4,34.9,0.3,1.1,0,25.1
Conway,AR,20954,10313,10641,3.8,81.8,11,0.3,0.1,0,18.5
Craighead,AR,104246,50774,53472,4.9,77.3,13.4,0.2,1.1,0.1,18.3
Crawford,AR,62119,30587,31532,7.3,85,1.3,1.6,1.8,0,16.6
Crittenden,AR,49278,23303,25975,2.4,43.2,48.9,0.3,0.7,0.1,23.5
Cross,AR,17164,8323,8841,1.9,73,22.7,0,0.1,0,18
Dallas,AR,7585,3639,3946,3.1,53.2,40,0.4,1.6,0.2,13.2
Desha,AR,12094,5547,6547,5.8,45.7,47.5,0.1,0.1,0,32.6
Drew,AR,18620,9090,9530,3.1,66.9,28.8,0.1,0.2,0,24.4
Faulkner,AR,121282,59387,61895,4,80.6,11.4,0.3,1.3,0.1,16.3
Franklin,AR,17803,8674,9129,2.9,92.4,1,1.6,0.5,0.1,21.9
Fulton,AR,12092,5947,6145,1.3,95.6,0.3,0.9,0,0.1,23
Garland,AR,97994,47269,50725,5.4,82.6,8.1,0.7,0.5,0,19.1
Grant,AR,18076,8829,9247,2.5,93,2.9,0.2,0,0,14.4
Greene,AR,44197,21806,22391,2.7,93.9,1,0.3,0.3,0.1,15.9
Hempstead,AR,22154,10380,11774,12.5,55.2,29.5,0.3,0.1,0.4,25.3
Hot Spring,AR,33480,17294,16186,3.4,82.8,10.9,0.3,0.3,0,15.8
Howard,AR,13472,6582,6890,12,65,20.9,0.2,0.2,0,21
Independence,AR,37097,18054,19043,6.1,89.2,1.9,0.3,0.7,0,18.5
Izard,AR,13521,6971,6550,2.1,93.5,1.9,1.1,0.2,0,17.7
Jackson,AR,17429,8575,8854,2.7,77.2,16.9,0.2,0,0,25.1
Jefferson,AR,71373,35154,36219,2,39.6,56.3,0.2,0.8,0,24.7
Johnson,AR,26155,12977,13178,13.7,80.3,1.6,0.2,1.6,0.1,22.5
Lafayette,AR,7051,3460,3591,1.2,59.3,37.8,0.3,0.4,0,23.8
Lawrence,AR,16777,8285,8492,1.3,95.8,0.9,0.5,0.1,0,18.4
Lee,AR,9614,5455,4159,1.4,40.7,56.9,0.1,0.1,0,27.3
Lincoln,AR,13885,8643,5242,3.6,64.6,31.1,0.4,0,0,17.9
Little River,AR,12494,6157,6337,3.3,73.2,20.5,1.3,0,0,18.8
Logan,AR,21802,10764,11038,2.9,90.8,2.1,1.1,1.3,0,20.2
Lonoke,AR,71568,35222,36346,4.3,86.5,6,0.5,0.7,0.1,12.3
Madison,AR,15907,8005,7902,5.4,90.2,0.1,1,0.4,0.5,17.8
Marion,AR,16374,8050,8324,2.2,94.7,0.2,1,0.4,0,19.5
Miller,AR,43760,21581,22179,3.1,69.4,24.4,0.7,0.5,0.1,21
Mississippi,AR,43534,21030,22504,4,58.7,35.1,0,0.5,0,25.6
Monroe,AR,7420,3435,3985,2.5,54.4,40.8,0,0.5,0,28.6
Montgomery,AR,9059,4487,4572,4.1,90.9,0.3,1.8,1,0,18.1
Nevada,AR,8528,4444,4084,0.4,63.4,33.4,0.1,1.4,0,23
Newton,AR,7898,3979,3919,1.4,94.3,0,1.5,0.5,0,17.8
Ouachita,AR,24378,11547,12831,2.1,55.5,40.7,0.2,0.1,0,26
Perry,AR,10320,5116,5204,2.8,92.2,2.1,0.5,0.1,0,17.8
Phillips,AR,19518,9210,10308,1.7,34.6,62.8,0,0.1,0,33
Pike,AR,10893,5415,5478,6.5,87.6,2.8,0.4,0.7,0,17.3
Poinsett,AR,24098,11808,12290,2.8,87.4,5.6,0.2,0.1,0,21.4
Polk,AR,20212,9869,10343,6.4,88,0.5,1.1,0.5,0,26.6
Pope,AR,63372,31373,31999,8.5,84.7,2.9,0.4,1,0,19.8
Prairie,AR,8309,4132,4177,0.6,85,13.4,0.4,0,0,16.8
Pulaski,AR,392848,188310,204538,6,53.2,35.9,0.2,2.1,0,17.3
Randolph,AR,17514,8664,8850,1.9,95.1,0.9,0.6,0,0,20.9
Saline,AR,116252,57280,58972,4.5,85.9,6.4,0.3,1.1,0.1,8
Scott,AR,10584,5290,5294,7.5,84.5,0.2,1.3,3.5,0,20.5
Searcy,AR,7925,4030,3895,2.2,93.5,0.2,1,1.3,0,17.4
Sebastian,AR,127362,62180,65182,13.7,70.4,6.7,1.1,4.3,0,22.5
Sevier,AR,17206,8612,8594,32.9,58.3,4.8,1.6,0.4,0.2,21.2
Sharp,AR,17041,8336,8705,2.1,93.9,0.4,0.5,0.4,0,23.3
St. Francis,AR,26688,14664,12024,2.6,40.4,55.3,0.3,0.5,0,27.5
Stone,AR,12443,6242,6201,1.8,94.9,0.1,0.6,0.1,0,24.2
Union,AR,40022,19451,20571,3.8,61.1,32.7,0.8,0.5,0,20.1
Van Buren,AR,16751,8356,8395,2.9,93.7,0.4,0.6,0.1,0,19.6
Washington,AR,223683,111839,111844,16.5,71.9,3.4,0.8,2.4,2,18
White,AR,78706,38653,40053,4.2,88.4,4,0.2,0.7,0,16.6
Woodruff,AR,6763,3193,3570,0.5,69.2,27.5,0,1.5,0.1,26
Yell,AR,21601,10722,10879,19.7,75.6,2,0.8,1.4,0,17.8
Apache,AZ,71602,35355,36247,6.1,18.5,0.5,72.8,0.3,0.1,35.9
Cochise,AZ,126516,64094,62422,35,55.7,3.6,0.9,1.8,0.4,18.1
Coconino,AZ,138639,68264,70375,13.9,54.3,1.2,25.8,1.8,0.1,21
Gila,AZ,53145,26284,26861,18.6,62.8,0.4,15.6,0.9,0,21.9
Graham,AZ,37700,20233,17467,32.5,51.2,1.8,12.6,0.7,0.2,21.4
Greenlee,AZ,9368,4997,4371,46.4,47.6,2,3.6,0.4,0,11.5
La Paz,AZ,20477,10530,9947,26.3,58.7,0.8,11.1,0.8,0.2,19.7
Maricopa,AZ,4155501,2055464,2100037,30.6,56.3,5.1,1.5,3.9,0.2,15.7
Mohave,AZ,204691,103175,101516,15.9,78,1,2.1,1.2,0.1,18.6
Navajo,AZ,107902,54037,53865,11.2,41.6,0.7,43.2,0.6,0.1,29.1
Pima,AZ,1007257,495714,511543,36.6,52.6,3.2,2.4,2.6,0.1,18.3
Pinal,AZ,405537,211665,193872,29.6,57.4,4.3,4.3,1.6,0.3,15.5
Santa Cruz,AZ,46358,22229,24129,83.4,15,0.3,0.2,0.8,0,21.8
Yavapai,AZ,220972,108100,112872,14.3,80.9,0.5,1.5,0.9,0,14.7
Yuma,AZ,204281,104914,99367,62.9,31.8,1.8,0.9,1.1,0.1,19.7
Alameda,CA,1629615,799649,829966,22.5,32.2,10.7,0.3,28.7,0.8,11.3
Alpine,CA,1203,664,539,9.7,64.6,1.5,20.6,0.7,0,19.8
Amador,CA,37306,20005,17301,13.2,79.3,2,0.7,1.5,0.2,10.6
Butte,CA,225207,111587,113620,15.7,72.9,1.5,0.7,4.4,0.2,20.5
