Arkansas,AR,Desha,0.46,0.54,4147,0.49,0.51,3937
Arkansas,AR,Drew,0.63,0.37,6333,0.64,0.36,6775
Arkansas,AR,Faulkner,0.67,0.33,43975,0.65,0.35,52768
Arkansas,AR,Franklin,0.79,0.21,6415,0.81,0.19,6977
Arkansas,AR,Fulton,0.76,0.24,4538,0.79,0.21,4996
Arkansas,AR,Garland,0.68,0.32,38398,0.67,0.33,43114
Arkansas,AR,Grant,0.81,0.19,7098,0.84,0.16,8062
Arkansas,AR,Greene,0.78,0.22,13791,0.81,0.19,15728
Arkansas,AR,Hempstead,0.65,0.35,6778,0.68,0.32,6608
Arkansas,AR,Hot Spring,0.72,0.28,11321,0.75,0.25,12284
Arkansas,AR,Howard,0.7,0.3,4508,0.72,0.28,4707
Arkansas,AR,Independence,0.78,0.22,12817,0.8,0.2,14056
Arkansas,AR,Izard,0.78,0.22,5155,0.82,0.18,5652
Arkansas,AR,Jackson,0.67,0.33,4850,0.72,0.28,4958
Arkansas,AR,Jefferson,0.37,0.63,25022,0.39,0.61,24502
Arkansas,AR,Johnson,0.72,0.28,8518,0.75,0.25,9221
Arkansas,AR,Lafayette,0.63,0.37,2790,0.68,0.32,2596
Arkansas,AR,Lawrence,0.76,0.24,5327,0.81,0.19,5649
Arkansas,AR,Lee,0.41,0.59,2964,0.47,0.53,2709
Arkansas,AR,Lincoln,0.66,0.34,3707,0.73,0.27,3761
Arkansas,AR,Little River,0.72,0.28,5002,0.75,0.25,4941
Arkansas,AR,Logan,0.77,0.23,7461,0.81,0.19,7985
Arkansas,AR,Lonoke,0.78,0.22,25622,0.77,0.23,29570
Arkansas,AR,Madison,0.76,0.24,6516,0.78,0.22,7221
Arkansas,AR,Marion,0.79,0.21,6770,0.79,0.21,7314
Arkansas,AR,Miller,0.73,0.27,15567,0.74,0.26,16165
Arkansas,AR,Mississippi,0.55,0.45,12731,0.62,0.38,11854
Arkansas,AR,Monroe,0.53,0.47,2801,0.57,0.43,2692
Arkansas,AR,Montgomery,0.78,0.22,3391,0.81,0.19,3777
Arkansas,AR,Nevada,0.63,0.37,3157,0.66,0.34,3209
Arkansas,AR,Newton,0.8,0.2,3574,0.82,0.18,3901
Arkansas,AR,Ouachita,0.55,0.45,9672,0.57,0.43,9289
Arkansas,AR,Perry,0.74,0.26,4057,0.77,0.23,4491
Arkansas,AR,Phillips,0.36,0.64,6756,0.4,0.6,6040
Arkansas,AR,Pike,0.82,0.18,3835,0.85,0.15,4163
Arkansas,AR,Poinsett,0.75,0.25,7382,0.81,0.19,7342
Arkansas,AR,Polk,0.85,0.15,7830,0.85,0.15,8281
Arkansas,AR,Pope,0.76,0.24,21256,0.76,0.24,23853
Arkansas,AR,Prairie,0.75,0.25,3319,0.81,0.19,3440
Arkansas,AR,Pulaski,0.41,0.59,150831,0.38,0.62,165634
Arkansas,AR,Randolph,0.76,0.24,5934,0.82,0.18,6570
Arkansas,AR,Saline,0.73,0.27,49119,0.71,0.29,55616
Arkansas,AR,Scott,0.82,0.18,3333,0.86,0.14,3445
Arkansas,AR,Searcy,0.83,0.17,3556,0.85,0.15,3953
Arkansas,AR,Sebastian,0.7,0.3,41427,0.68,0.32,45685
Arkansas,AR,Sevier,0.75,0.25,4357,0.78,0.22,5000
Arkansas,AR,Sharp,0.79,0.21,6879,0.81,0.19,7336
Arkansas,AR,St. Francis,0.44,0.56,7226,0.47,0.53,6846
Arkansas,AR,Stone,0.77,0.23,5316,0.8,0.2,5796
Arkansas,AR,Union,0.64,0.36,16311,0.65,0.35,16062
Arkansas,AR,Van Buren,0.78,0.22,6931,0.79,0.21,7627
Arkansas,AR,Washington,0.55,0.45,74842,0.52,0.48,91328
Arkansas,AR,White,0.8,0.2,26247,0.8,0.2,30160
Arkansas,AR,Woodruff,0.55,0.45,2465,0.64,0.36,2399
Arkansas,AR,Yell,0.76,0.24,6088,0.8,0.2,6510
California,CA,Alameda,0.16,0.84,610764,0.18,0.82,753968
California,CA,Alpine,0.39,0.61,551,0.34,0.66,720
California,CA,Amador,0.64,0.36,16489,0.62,0.38,21738
California,CA,Butte,0.52,0.48,86711,0.49,0.51,99156
California,CA,Calaveras,0.63,0.37,21455,0.62,0.38,26564
California,CA,Colusa,0.57,0.43,6212,0.58,0.42,7798
California,CA,Contra Costa,0.27,0.73,435243,0.27,0.73,569263
California,CA,Del Norte,0.6,0.4,8619,0.58,0.42,11138
California,CA,El Dorado,0.57,0.43,85651,0.55,0.45,113459
California,CA,Fresno,0.47,0.53,265390,0.46,0.54,357489
California,CA,Glenn,0.65,0.35,8853,0.64,0.36,11058
California,CA,Humboldt,0.36,0.64,51573,0.33,0.67,66538
California,CA,Imperial,0.28,0.72,45371,0.38,0.62,55525
California,CA,Inyo,0.57,0.43,7403,0.5,0.5,9254
California,CA,Kern,0.57,0.43,228273,0.55,0.45,297850
California,CA,Kings,0.57,0.43,31710,0.56,0.44,42771
California,CA,Lake,0.48,0.52,22095,0.47,0.53,28064
California,CA,Lassen,0.77,0.23,9798,0.76,0.24,11769
California,CA,Los Angeles,0.24,0.76,3234107,0.27,0.73,4174415
California,CA,Madera,0.58,0.42,40386,0.56,0.44,52546
California,CA,Marin,0.17,0.83,130478,0.16,0.84,152900
California,CA,Mariposa,0.62,0.38,8307,0.59,0.41,10038
California,CA,Mendocino,0.33,0.67,32967,0.32,0.68,42049
California,CA,Merced,0.43,0.57,66042,0.45,0.55,88388
California,CA,Modoc,0.75,0.25,3573,0.73,0.27,4259
California,CA,Mono,0.43,0.57,4884,0.39,0.61,6526
California,CA,Monterey,0.28,0.72,123983,0.29,0.71,160252
California,CA,Napa,0.31,0.69,56610,0.29,0.71,70493
California,CA,Nevada,0.47,0.53,49418,0.42,0.58,63138
California,CA,Orange,0.45,0.55,1117109,0.45,0.55,1490507
California,CA,Placer,0.56,0.44,168647,0.53,0.47,229357
California,CA,Plumas,0.61,0.39,8879,0.59,0.41,11006
California,CA,Riverside,0.47,0.53,706938,0.46,0.54,977484
California,CA,Sacramento,0.37,0.63,515812,0.37,0.63,700213
California,CA,San Benito,0.39,0.61,20362,0.38,0.62,28218
California,CA,San Bernardino,0.44,0.56,612073,0.45,0.55,822116
California,CA,San Diego,0.39,0.61,1213242,0.38,0.62,1564744
California,CA,San Francisco,0.1,0.9,382772,0.13,0.87,434573
California,CA,San Joaquin,0.42,0.58,210060,0.43,0.57,282235
California,CA,San Luis Obispo,0.46,0.54,123271,0.43,0.57,155746
California,CA,San Mateo,0.2,0.8,295811,0.21,0.79,367080
California,CA,Santa Barbara,0.34,0.66,163507,0.34,0.66,195699
California,CA,Santa Clara,0.22,0.78,656510,0.26,0.74,832579
California,CA,Santa Cruz,0.19,0.81,117687,0.19,0.81,141183
California,CA,Shasta,0.7,0.3,74079,0.67,0.33,90789
California,CA,Sierra,0.64,0.36,1649,0.61,0.39,1872
California,CA,Siskiyou,0.61,0.39,18575,0.58,0.42,22883
California,CA,Solano,0.34,0.66,154280,0.34,0.66,200945
