year,state,state_po,county_name,candidate,party,candidatevotes,totalvotes,percentile
2020,ALASKA,AK,DISTRICT 2,JOSEPH R BIDEN JR,DEMOCRAT,2104,6136,0.342894394
2016,ALASKA,AK,DISTRICT 3,DONALD TRUMP,REPUBLICAN,5403,7613,0.70970708
2016,ALASKA,AK,DISTRICT 3,HILLARY CLINTON,DEMOCRAT,1241,7613,0.16301064
2020,ALASKA,AK,DISTRICT 3,DONALD J TRUMP,REPUBLICAN,6076,8385,0.724627311
2020,ALASKA,AK,DISTRICT 3,JOSEPH R BIDEN JR,DEMOCRAT,1903,8385,0.226952892
2016,ALASKA,AK,DISTRICT 4,DONALD TRUMP,REPUBLICAN,4070,9521,0.427476105
2016,ALASKA,AK,DISTRICT 4,HILLARY CLINTON,DEMOCRAT,4162,9521,0.437138956
2020,ALASKA,AK,DISTRICT 4,DONALD J TRUMP,REPUBLICAN,4690,10511,0.44619922
2020,ALASKA,AK,DISTRICT 4,JOSEPH R BIDEN JR,DEMOCRAT,5345,10511,0.508514889
2016,ALASKA,AK,DISTRICT 5,DONALD TRUMP,REPUBLICAN,3683,7906,0.465848722
2016,ALASKA,AK,DISTRICT 5,HILLARY CLINTON,DEMOCRAT,3187,7906,0.403111561
2020,ALASKA,AK,DISTRICT 5,DONALD J TRUMP,REPUBLICAN,4077,8654,0.471111625
2020,ALASKA,AK,DISTRICT 5,JOSEPH R BIDEN JR,DEMOCRAT,4204,8654,0.485786919
2016,ALASKA,AK,DISTRICT 6,DONALD TRUMP,REPUBLICAN,4929,8460,0.582624113
2016,ALASKA,AK,DISTRICT 6,HILLARY CLINTON,DEMOCRAT,2536,8460,0.299763593
2020,ALASKA,AK,DISTRICT 6,DONALD J TRUMP,REPUBLICAN,5770,9460,0.609936575
2020,ALASKA,AK,DISTRICT 6,JOSEPH R BIDEN JR,DEMOCRAT,3272,9460,0.345877378
2016,ALASKA,AK,DISTRICT 7,DONALD TRUMP,REPUBLICAN,5935,8294,0.715577526
2016,ALASKA,AK,DISTRICT 7,HILLARY CLINTON,DEMOCRAT,1510,8294,0.18205932
2020,ALASKA,AK,DISTRICT 7,DONALD J TRUMP,REPUBLICAN,7027,9622,0.73030555
2020,ALASKA,AK,DISTRICT 7,JOSEPH R BIDEN JR,DEMOCRAT,2215,9622,0.230201621
2016,ALASKA,AK,DISTRICT 8,DONALD TRUMP,REPUBLICAN,6126,8073,0.758825715
2016,ALASKA,AK,DISTRICT 8,HILLARY CLINTON,DEMOCRAT,1218,8073,0.150873281
