year,state,state_po,county_name,candidate,party,candidatevotes,totalvotes,percentile
2020,NORTH CAROLINA,NC,ONSLOW,DONALD J TRUMP,REPUBLICAN,3987,72235,0.05519485
2020,NORTH CAROLINA,NC,ONSLOW,DONALD J TRUMP,REPUBLICAN,9972,72235,0.138049422
2020,NORTH CAROLINA,NC,ONSLOW,DONALD J TRUMP,REPUBLICAN,31729,72235,0.439246902
2020,NORTH CAROLINA,NC,ONSLOW,JOSEPH R BIDEN JR,DEMOCRAT,152,72235,0.002104243
2020,NORTH CAROLINA,NC,ONSLOW,JOSEPH R BIDEN JR,DEMOCRAT,3079,72235,0.042624766
2020,NORTH CAROLINA,NC,ONSLOW,JOSEPH R BIDEN JR,DEMOCRAT,5770,72235,0.079878175
2020,NORTH CAROLINA,NC,ONSLOW,JOSEPH R BIDEN JR,DEMOCRAT,15265,72235,0.21132415
2016,NORTH CAROLINA,NC,ORANGE,DONALD TRUMP,REPUBLICAN,18557,82340,0.225370415
2016,NORTH CAROLINA,NC,ORANGE,HILLARY CLINTON,DEMOCRAT,59923,82340,0.727750789
2020,NORTH CAROLINA,NC,ORANGE,DONALD J TRUMP,REPUBLICAN,30,84997,0.000352954
2020,NORTH CAROLINA,NC,ORANGE,DONALD J TRUMP,REPUBLICAN,2594,84997,0.030518724
2020,NORTH CAROLINA,NC,ORANGE,DONALD J TRUMP,REPUBLICAN,4522,84997,0.053201878
2020,NORTH CAROLINA,NC,ORANGE,DONALD J TRUMP,REPUBLICAN,13030,84997,0.153299528
2020,NORTH CAROLINA,NC,ORANGE,JOSEPH R BIDEN JR,DEMOCRAT,30,84997,0.000352954
2020,NORTH CAROLINA,NC,ORANGE,JOSEPH R BIDEN JR,DEMOCRAT,3703,84997,0.043566244
2020,NORTH CAROLINA,NC,ORANGE,JOSEPH R BIDEN JR,DEMOCRAT,23097,84997,0.271739003
2020,NORTH CAROLINA,NC,ORANGE,JOSEPH R BIDEN JR,DEMOCRAT,36764,84997,0.432532913
2016,NORTH CAROLINA,NC,PAMLICO,DONALD TRUMP,REPUBLICAN,4258,6870,0.619796215
2016,NORTH CAROLINA,NC,PAMLICO,HILLARY CLINTON,DEMOCRAT,2448,6870,0.356331878
2020,NORTH CAROLINA,NC,PAMLICO,DONALD J TRUMP,REPUBLICAN,24,7631,0.003145066
2020,NORTH CAROLINA,NC,PAMLICO,DONALD J TRUMP,REPUBLICAN,348,7631,0.04560346
2020,NORTH CAROLINA,NC,PAMLICO,DONALD J TRUMP,REPUBLICAN,1283,7631,0.168129996
2020,NORTH CAROLINA,NC,PAMLICO,DONALD J TRUMP,REPUBLICAN,3194,7631,0.41855589
2020,NORTH CAROLINA,NC,PAMLICO,JOSEPH R BIDEN JR,DEMOCRAT,3,7631,0.000393133
2020,NORTH CAROLINA,NC,PAMLICO,JOSEPH R BIDEN JR,DEMOCRAT,371,7631,0.048617481
2020,NORTH CAROLINA,NC,PAMLICO,JOSEPH R BIDEN JR,DEMOCRAT,717,7631,0.093958852
2020,NORTH CAROLINA,NC,PAMLICO,JOSEPH R BIDEN JR,DEMOCRAT,1622,7631,0.212554056
2016,NORTH CAROLINA,NC,PASQUOTANK,DONALD TRUMP,REPUBLICAN,8180,17391,0.470358231
2016,NORTH CAROLINA,NC,PASQUOTANK,HILLARY CLINTON,DEMOCRAT,8615,17391,0.495371169
2020,NORTH CAROLINA,NC,PASQUOTANK,DONALD J TRUMP,REPUBLICAN,44,19897,0.002211389
2020,NORTH CAROLINA,NC,PASQUOTANK,DONALD J TRUMP,REPUBLICAN,758,19897,0.038096195
2020,NORTH CAROLINA,NC,PASQUOTANK,DONALD J TRUMP,REPUBLICAN,2287,19897,0.114941951
2020,NORTH CAROLINA,NC,PASQUOTANK,DONALD J TRUMP,REPUBLICAN,6681,19897,0.335779263
2020,NORTH CAROLINA,NC,PASQUOTANK,JOSEPH R BIDEN JR,DEMOCRAT,78,19897,0.003920189
2020,NORTH CAROLINA,NC,PASQUOTANK,JOSEPH R BIDEN JR,DEMOCRAT,1043,19897,0.052419963
2020,NORTH CAROLINA,NC,PASQUOTANK,JOSEPH R BIDEN JR,DEMOCRAT,1760,19897,0.088455546
2020,NORTH CAROLINA,NC,PASQUOTANK,JOSEPH R BIDEN JR,DEMOCRAT,6951,19897,0.349349148
2016,NORTH CAROLINA,NC,PENDER,DONALD TRUMP,REPUBLICAN,17639,27885,0.632562309
2016,NORTH CAROLINA,NC,PENDER,HILLARY CLINTON,DEMOCRAT,9354,27885,0.335449166
2020,NORTH CAROLINA,NC,PENDER,DONALD J TRUMP,REPUBLICAN,75,34169,0.002194972
2020,NORTH CAROLINA,NC,PENDER,DONALD J TRUMP,REPUBLICAN,1711,34169,0.050074629
2020,NORTH CAROLINA,NC,PENDER,DONALD J TRUMP,REPUBLICAN,3200,34169,0.093652141
2020,NORTH CAROLINA,NC,PENDER,DONALD J TRUMP,REPUBLICAN,16970,34169,0.496649009
2020,NORTH CAROLINA,NC,PENDER,JOSEPH R BIDEN JR,DEMOCRAT,29,34169,0.000848723
2020,NORTH CAROLINA,NC,PENDER,JOSEPH R BIDEN JR,DEMOCRAT,1317,34169,0.038543709
2020,NORTH CAROLINA,NC,PENDER,JOSEPH R BIDEN JR,DEMOCRAT,2605,34169,0.076238696
2020,NORTH CAROLINA,NC,PENDER,JOSEPH R BIDEN JR,DEMOCRAT,7772,34169,0.227457637
2016,NORTH CAROLINA,NC,PERQUIMANS,DONALD TRUMP,REPUBLICAN,4177,6708,0.622689326
2016,NORTH CAROLINA,NC,PERQUIMANS,HILLARY CLINTON,DEMOCRAT,2319,6708,0.345706619
2020,NORTH CAROLINA,NC,PERQUIMANS,DONALD J TRUMP,REPUBLICAN,5,7484,0.000668092
2020,NORTH CAROLINA,NC,PERQUIMANS,DONALD J TRUMP,REPUBLICAN,270,7484,0.036076964
2020,NORTH CAROLINA,NC,PERQUIMANS,DONALD J TRUMP,REPUBLICAN,891,7484,0.119053982
2020,NORTH CAROLINA,NC,PERQUIMANS,DONALD J TRUMP,REPUBLICAN,3737,7484,0.499331908
2020,NORTH CAROLINA,NC,PERQUIMANS,JOSEPH R BIDEN JR,DEMOCRAT,5,7484,0.000668092
2020,NORTH CAROLINA,NC,PERQUIMANS,JOSEPH R BIDEN JR,DEMOCRAT,333,7484,0.044494923
2020,NORTH CAROLINA,NC,PERQUIMANS,JOSEPH R BIDEN JR,DEMOCRAT,377,7484,0.050374131
2020,NORTH CAROLINA,NC,PERQUIMANS,JOSEPH R BIDEN JR,DEMOCRAT,1777,7484,0.237439872
2016,NORTH CAROLINA,NC,PERSON,DONALD TRUMP,REPUBLICAN,11185,19615,0.570226867
2016,NORTH CAROLINA,NC,PERSON,HILLARY CLINTON,DEMOCRAT,7833,19615,0.399337242
2020,NORTH CAROLINA,NC,PERSON,DONALD J TRUMP,REPUBLICAN,50,21894,0.002283731
2020,NORTH CAROLINA,NC,PERSON,DONALD J TRUMP,REPUBLICAN,853,21894,0.038960446
2020,NORTH CAROLINA,NC,PERSON,DONALD J TRUMP,REPUBLICAN,2946,21894,0.134557413
2020,NORTH CAROLINA,NC,PERSON,DONALD J TRUMP,REPUBLICAN,9335,21894,0.426372522
2020,NORTH CAROLINA,NC,PERSON,JOSEPH R BIDEN JR,DEMOCRAT,18,21894,0.000822143
2020,NORTH CAROLINA,NC,PERSON,JOSEPH R BIDEN JR,DEMOCRAT,1056,21894,0.048232392
2020,NORTH CAROLINA,NC,PERSON,JOSEPH R BIDEN JR,DEMOCRAT,1472,21894,0.067233032
2020,NORTH CAROLINA,NC,PERSON,JOSEPH R BIDEN JR,DEMOCRAT,5919,21894,0.270348041
2016,NORTH CAROLINA,NC,PITT,DONALD TRUMP,REPUBLICAN,35691,80527,0.443217803
2016,NORTH CAROLINA,NC,PITT,HILLARY CLINTON,DEMOCRAT,41824,80527,0.519378594
2020,NORTH CAROLINA,NC,PITT,DONALD J TRUMP,REPUBLICAN,254,87573,0.002900437
2020,NORTH CAROLINA,NC,PITT,DONALD J TRUMP,REPUBLICAN,2758,87573,0.031493725
2020,NORTH CAROLINA,NC,PITT,DONALD J TRUMP,REPUBLICAN,7839,87573,0.089513891
2020,NORTH CAROLINA,NC,PITT,DONALD J TRUMP,REPUBLICAN,28131,87573,0.321229146
2020,NORTH CAROLINA,NC,PITT,JOSEPH R BIDEN JR,DEMOCRAT,342,87573,0.003905313
2020,NORTH CAROLINA,NC,PITT,JOSEPH R BIDEN JR,DEMOCRAT,5862,87573,0.06693844
2020,NORTH CAROLINA,NC,PITT,JOSEPH R BIDEN JR,DEMOCRAT,8379,87573,0.095680175
2020,NORTH CAROLINA,NC,PITT,JOSEPH R BIDEN JR,DEMOCRAT,32669,87573,0.373048771
2016,NORTH CAROLINA,NC,POLK,DONALD TRUMP,REPUBLICAN,6768,10934,0.618986647
2016,NORTH CAROLINA,NC,POLK,HILLARY CLINTON,DEMOCRAT,3735,10934,0.341595025
2020,NORTH CAROLINA,NC,POLK,DONALD J TRUMP,REPUBLICAN,20,12358,0.001618385
2020,NORTH CAROLINA,NC,POLK,DONALD J TRUMP,REPUBLICAN,827,12358,0.066920214
2020,NORTH CAROLINA,NC,POLK,DONALD J TRUMP,REPUBLICAN,2054,12358,0.166208124
2020,NORTH CAROLINA,NC,POLK,DONALD J TRUMP,REPUBLICAN,4788,12358,0.387441334
2020,NORTH CAROLINA,NC,POLK,JOSEPH R BIDEN JR,DEMOCRAT,7,12358,0.000566435
2020,NORTH CAROLINA,NC,POLK,JOSEPH R BIDEN JR,DEMOCRAT,475,12358,0.03843664
2020,NORTH CAROLINA,NC,POLK,JOSEPH R BIDEN JR,DEMOCRAT,1707,12358,0.138129147
2020,NORTH CAROLINA,NC,POLK,JOSEPH R BIDEN JR,DEMOCRAT,2329,12358,0.188460916
2016,NORTH CAROLINA,NC,RANDOLPH,DONALD TRUMP,REPUBLICAN,49430,64575,0.765466512
2016,NORTH CAROLINA,NC,RANDOLPH,HILLARY CLINTON,DEMOCRAT,13194,64575,0.204320557
2020,NORTH CAROLINA,NC,RANDOLPH,DONALD J TRUMP,REPUBLICAN,168,73316,0.002291451
2020,NORTH CAROLINA,NC,RANDOLPH,DONALD J TRUMP,REPUBLICAN,3939,73316,0.053726335
2020,NORTH CAROLINA,NC,RANDOLPH,DONALD J TRUMP,REPUBLICAN,12052,73316,0.164384309
2020,NORTH CAROLINA,NC,RANDOLPH,DONALD J TRUMP,REPUBLICAN,40735,73316,0.555608598
2020,NORTH CAROLINA,NC,RANDOLPH,JOSEPH R BIDEN JR,DEMOCRAT,23,73316,0.000313711
2020,NORTH CAROLINA,NC,RANDOLPH,JOSEPH R BIDEN JR,DEMOCRAT,2545,73316,0.03471275
2020,NORTH CAROLINA,NC,RANDOLPH,JOSEPH R BIDEN JR,DEMOCRAT,3784,73316,0.051612199
2020,NORTH CAROLINA,NC,RANDOLPH,JOSEPH R BIDEN JR,DEMOCRAT,9266,73316,0.126384418
2016,NORTH CAROLINA,NC,RICHMOND,DONALD TRUMP,REPUBLICAN,10383,19328,0.537199917
2016,NORTH CAROLINA,NC,RICHMOND,HILLARY CLINTON,DEMOCRAT,8501,19328,0.439828228
2020,NORTH CAROLINA,NC,RICHMOND,DONALD J TRUMP,REPUBLICAN,56,20763,0.002697105
2020,NORTH CAROLINA,NC,RICHMOND,DONALD J TRUMP,REPUBLICAN,690,20763,0.033232192
2020,NORTH CAROLINA,NC,RICHMOND,DONALD J TRUMP,REPUBLICAN,2574,20763,0.123970524
2020,NORTH CAROLINA,NC,RICHMOND,DONALD J TRUMP,REPUBLICAN,8510,20763,0.4098637
2020,NORTH CAROLINA,NC,RICHMOND,JOSEPH R BIDEN JR,DEMOCRAT,42,20763,0.002022829
2020,NORTH CAROLINA,NC,RICHMOND,JOSEPH R BIDEN JR,DEMOCRAT,1115,20763,0.053701296
2020,NORTH CAROLINA,NC,RICHMOND,JOSEPH R BIDEN JR,DEMOCRAT,1576,20763,0.075904253
2020,NORTH CAROLINA,NC,RICHMOND,JOSEPH R BIDEN JR,DEMOCRAT,6021,20763,0.289986996
2016,NORTH CAROLINA,NC,ROBESON,DONALD TRUMP,REPUBLICAN,20762,40858,0.508150179
2016,NORTH CAROLINA,NC,ROBESON,HILLARY CLINTON,DEMOCRAT,19016,40858,0.465416809
2020,NORTH CAROLINA,NC,ROBESON,DONALD J TRUMP,REPUBLICAN,553,47188,0.011719081
2020,NORTH CAROLINA,NC,ROBESON,DONALD J TRUMP,REPUBLICAN,1382,47188,0.029287107
2020,NORTH CAROLINA,NC,ROBESON,DONALD J TRUMP,REPUBLICAN,9629,47188,0.204056116
2020,NORTH CAROLINA,NC,ROBESON,DONALD J TRUMP,REPUBLICAN,16242,47188,0.344197677
2020,NORTH CAROLINA,NC,ROBESON,JOSEPH R BIDEN JR,DEMOCRAT,217,47188,0.004598627
2020,NORTH CAROLINA,NC,ROBESON,JOSEPH R BIDEN JR,DEMOCRAT,2226,47188,0.04717301
2020,NORTH CAROLINA,NC,ROBESON,JOSEPH R BIDEN JR,DEMOCRAT,3625,47188,0.076820378
2020,NORTH CAROLINA,NC,ROBESON,JOSEPH R BIDEN JR,DEMOCRAT,12952,47188,0.274476562
2016,NORTH CAROLINA,NC,ROCKINGHAM,DONALD TRUMP,REPUBLICAN,26830,42278,0.634609017
2016,NORTH CAROLINA,NC,ROCKINGHAM,HILLARY CLINTON,DEMOCRAT,14228,42278,0.336534368
2020,NORTH CAROLINA,NC,ROCKINGHAM,DONALD J TRUMP,REPUBLICAN,169,47809,0.003534899
2020,NORTH CAROLINA,NC,ROCKINGHAM,DONALD J TRUMP,REPUBLICAN,1902,47809,0.039783304
2020,NORTH CAROLINA,NC,ROCKINGHAM,DONALD J TRUMP,REPUBLICAN,7313,47809,0.152962831
2020,NORTH CAROLINA,NC,ROCKINGHAM,DONALD J TRUMP,REPUBLICAN,21917,47809,0.458428329
2020,NORTH CAROLINA,NC,ROCKINGHAM,JOSEPH R BIDEN JR,DEMOCRAT,77,47809,0.001610575
2020,NORTH CAROLINA,NC,ROCKINGHAM,JOSEPH R BIDEN JR,DEMOCRAT,2322,47809,0.048568261
2020,NORTH CAROLINA,NC,ROCKINGHAM,JOSEPH R BIDEN JR,DEMOCRAT,2560,47809,0.053546403
2020,NORTH CAROLINA,NC,ROCKINGHAM,JOSEPH R BIDEN JR,DEMOCRAT,11033,47809,0.230772449
2016,NORTH CAROLINA,NC,ROWAN,DONALD TRUMP,REPUBLICAN,42810,64369,0.665071696
2016,NORTH CAROLINA,NC,ROWAN,HILLARY CLINTON,DEMOCRAT,19400,64369,0.301387314
2020,NORTH CAROLINA,NC,ROWAN,DONALD J TRUMP,REPUBLICAN,126,73408,0.001716434
2020,NORTH CAROLINA,NC,ROWAN,DONALD J TRUMP,REPUBLICAN,4413,73408,0.060116064
2020,NORTH CAROLINA,NC,ROWAN,DONALD J TRUMP,REPUBLICAN,11463,73408,0.156154643
2020,NORTH CAROLINA,NC,ROWAN,DONALD J TRUMP,REPUBLICAN,33295,73408,0.45356092
2020,NORTH CAROLINA,NC,ROWAN,JOSEPH R BIDEN JR,DEMOCRAT,47,73408,0.000640257
2020,NORTH CAROLINA,NC,ROWAN,JOSEPH R BIDEN JR,DEMOCRAT,3752,73408,0.051111595
2020,NORTH CAROLINA,NC,ROWAN,JOSEPH R BIDEN JR,DEMOCRAT,5581,73408,0.076027136
2020,NORTH CAROLINA,NC,ROWAN,JOSEPH R BIDEN JR,DEMOCRAT,13734,73408,0.187091325
2016,NORTH CAROLINA,NC,RUTHERFORD,DONALD TRUMP,REPUBLICAN,21871,30307,0.721648464
2016,NORTH CAROLINA,NC,RUTHERFORD,HILLARY CLINTON,DEMOCRAT,7512,30307,0.24786353
2020,NORTH CAROLINA,NC,RUTHERFORD,DONALD J TRUMP,REPUBLICAN,174,34429,0.005053879
2020,NORTH CAROLINA,NC,RUTHERFORD,DONALD J TRUMP,REPUBLICAN,2012,34429,0.058439107
2020,NORTH CAROLINA,NC,RUTHERFORD,DONALD J TRUMP,REPUBLICAN,6702,34429,0.194661477
2020,NORTH CAROLINA,NC,RUTHERFORD,DONALD J TRUMP,REPUBLICAN,16003,34429,0.464811641
2020,NORTH CAROLINA,NC,RUTHERFORD,JOSEPH R BIDEN JR,DEMOCRAT,57,34429,0.001655581
2020,NORTH CAROLINA,NC,RUTHERFORD,JOSEPH R BIDEN JR,DEMOCRAT,1458,34429,0.042348021
2020,NORTH CAROLINA,NC,RUTHERFORD,JOSEPH R BIDEN JR,DEMOCRAT,2208,34429,0.064131982
2020,NORTH CAROLINA,NC,RUTHERFORD,JOSEPH R BIDEN JR,DEMOCRAT,5412,34429,0.157193064
2016,NORTH CAROLINA,NC,SAMPSON,DONALD TRUMP,REPUBLICAN,14838,25928,0.572277075
2016,NORTH CAROLINA,NC,SAMPSON,HILLARY CLINTON,DEMOCRAT,10547,25928,0.406780315
2020,NORTH CAROLINA,NC,SAMPSON,DONALD J TRUMP,REPUBLICAN,31,28618,0.001083234
2020,NORTH CAROLINA,NC,SAMPSON,DONALD J TRUMP,REPUBLICAN,877,28618,0.030645049
2020,NORTH CAROLINA,NC,SAMPSON,DONALD J TRUMP,REPUBLICAN,3513,28618,0.122754909
2020,NORTH CAROLINA,NC,SAMPSON,DONALD J TRUMP,REPUBLICAN,12990,28618,0.453910126
2020,NORTH CAROLINA,NC,SAMPSON,JOSEPH R BIDEN JR,DEMOCRAT,31,28618,0.001083234
2020,NORTH CAROLINA,NC,SAMPSON,JOSEPH R BIDEN JR,DEMOCRAT,1458,28618,0.050946956
2020,NORTH CAROLINA,NC,SAMPSON,JOSEPH R BIDEN JR,DEMOCRAT,1570,28618,0.054860577
2020,NORTH CAROLINA,NC,SAMPSON,JOSEPH R BIDEN JR,DEMOCRAT,7907,28618,0.27629464
2016,NORTH CAROLINA,NC,SCOTLAND,DONALD TRUMP,REPUBLICAN,6256,13928,0.449167145
2016,NORTH CAROLINA,NC,SCOTLAND,HILLARY CLINTON,DEMOCRAT,7319,13928,0.525488225
2020,NORTH CAROLINA,NC,SCOTLAND,DONALD J TRUMP,REPUBLICAN,53,14775,0.00358714
2020,NORTH CAROLINA,NC,SCOTLAND,DONALD J TRUMP,REPUBLICAN,540,14775,0.036548223
2020,NORTH CAROLINA,NC,SCOTLAND,DONALD J TRUMP,REPUBLICAN,1505,14775,0.101861252
2020,NORTH CAROLINA,NC,SCOTLAND,DONALD J TRUMP,REPUBLICAN,5375,14775,0.363790186
2020,NORTH CAROLINA,NC,SCOTLAND,JOSEPH R BIDEN JR,DEMOCRAT,25,14775,0.001692047
2020,NORTH CAROLINA,NC,SCOTLAND,JOSEPH R BIDEN JR,DEMOCRAT,1011,14775,0.068426396
2020,NORTH CAROLINA,NC,SCOTLAND,JOSEPH R BIDEN JR,DEMOCRAT,1091,14775,0.073840948
2020,NORTH CAROLINA,NC,SCOTLAND,JOSEPH R BIDEN JR,DEMOCRAT,5059,14775,0.342402707
2016,NORTH CAROLINA,NC,STANLY,DONALD TRUMP,REPUBLICAN,21964,29917,0.734164522
2016,NORTH CAROLINA,NC,STANLY,HILLARY CLINTON,DEMOCRAT,7094,29917,0.237122706
2020,NORTH CAROLINA,NC,STANLY,DONALD J TRUMP,REPUBLICAN,96,33939,0.002828604
2020,NORTH CAROLINA,NC,STANLY,DONALD J TRUMP,REPUBLICAN,1712,33939,0.050443443
2020,NORTH CAROLINA,NC,STANLY,DONALD J TRUMP,REPUBLICAN,5110,33939,0.150564248
2020,NORTH CAROLINA,NC,STANLY,DONALD J TRUMP,REPUBLICAN,18540,33939,0.546274198
2020,NORTH CAROLINA,NC,STANLY,JOSEPH R BIDEN JR,DEMOCRAT,44,33939,0.001296444
2020,NORTH CAROLINA,NC,STANLY,JOSEPH R BIDEN JR,DEMOCRAT,1345,33939,0.039629924
2020,NORTH CAROLINA,NC,STANLY,JOSEPH R BIDEN JR,DEMOCRAT,1779,33939,0.052417573
2020,NORTH CAROLINA,NC,STANLY,JOSEPH R BIDEN JR,DEMOCRAT,4961,33939,0.146174018
2016,NORTH CAROLINA,NC,STOKES,DONALD TRUMP,REPUBLICAN,17116,22550,0.75902439
2016,NORTH CAROLINA,NC,STOKES,HILLARY CLINTON,DEMOCRAT,4665,22550,0.206873614
2020,NORTH CAROLINA,NC,STOKES,DONALD J TRUMP,REPUBLICAN,82,25701,0.003190537
2020,NORTH CAROLINA,NC,STOKES,DONALD J TRUMP,REPUBLICAN,1365,25701,0.053110774
2020,NORTH CAROLINA,NC,STOKES,DONALD J TRUMP,REPUBLICAN,6205,25701,0.241430295
2020,NORTH CAROLINA,NC,STOKES,DONALD J TRUMP,REPUBLICAN,12490,25701,0.485973308
2020,NORTH CAROLINA,NC,STOKES,JOSEPH R BIDEN JR,DEMOCRAT,8,25701,0.000311272
2020,NORTH CAROLINA,NC,STOKES,JOSEPH R BIDEN JR,DEMOCRAT,1028,25701,0.039998444
2020,NORTH CAROLINA,NC,STOKES,JOSEPH R BIDEN JR,DEMOCRAT,1215,25701,0.047274425
2020,NORTH CAROLINA,NC,STOKES,JOSEPH R BIDEN JR,DEMOCRAT,3035,25701,0.11808879
2016,NORTH CAROLINA,NC,SURRY,DONALD TRUMP,REPUBLICAN,23671,32196,0.735215555
2016,NORTH CAROLINA,NC,SURRY,HILLARY CLINTON,DEMOCRAT,7488,32196,0.232575475
2020,NORTH CAROLINA,NC,SURRY,DONALD J TRUMP,REPUBLICAN,104,36638,0.002838583
2020,NORTH CAROLINA,NC,SURRY,DONALD J TRUMP,REPUBLICAN,2413,36638,0.065860582
2020,NORTH CAROLINA,NC,SURRY,DONALD J TRUMP,REPUBLICAN,5422,36638,0.147988427
2020,NORTH CAROLINA,NC,SURRY,DONALD J TRUMP,REPUBLICAN,19599,36638,0.534936405
2020,NORTH CAROLINA,NC,SURRY,JOSEPH R BIDEN JR,DEMOCRAT,15,36638,0.000409411
2020,NORTH CAROLINA,NC,SURRY,JOSEPH R BIDEN JR,DEMOCRAT,1144,36638,0.031224412
2020,NORTH CAROLINA,NC,SURRY,JOSEPH R BIDEN JR,DEMOCRAT,2506,36638,0.06839893
2020,NORTH CAROLINA,NC,SURRY,JOSEPH R BIDEN JR,DEMOCRAT,5056,36638,0.137998799
2016,NORTH CAROLINA,NC,SWAIN,DONALD TRUMP,REPUBLICAN,3565,6124,0.582135859
2016,NORTH CAROLINA,NC,SWAIN,HILLARY CLINTON,DEMOCRAT,2196,6124,0.358589157
2020,NORTH CAROLINA,NC,SWAIN,DONALD J TRUMP,REPUBLICAN,6,7068,0.000848896
2020,NORTH CAROLINA,NC,SWAIN,DONALD J TRUMP,REPUBLICAN,269,7068,0.038058857
2020,NORTH CAROLINA,NC,SWAIN,DONALD J TRUMP,REPUBLICAN,1149,7068,0.162563667
2020,NORTH CAROLINA,NC,SWAIN,DONALD J TRUMP,REPUBLICAN,2737,7068,0.387238257
2020,NORTH CAROLINA,NC,SWAIN,JOSEPH R BIDEN JR,DEMOCRAT,7,7068,0.000990379
2020,NORTH CAROLINA,NC,SWAIN,JOSEPH R BIDEN JR,DEMOCRAT,457,7068,0.064657612
2020,NORTH CAROLINA,NC,SWAIN,JOSEPH R BIDEN JR,DEMOCRAT,460,7068,0.06508206
2020,NORTH CAROLINA,NC,SWAIN,JOSEPH R BIDEN JR,DEMOCRAT,1856,7068,0.262591964
2016,NORTH CAROLINA,NC,TRANSYLVANIA,DONALD TRUMP,REPUBLICAN,10520,17869,0.588729084
2016,NORTH CAROLINA,NC,TRANSYLVANIA,HILLARY CLINTON,DEMOCRAT,6558,17869,0.367004309
2020,NORTH CAROLINA,NC,TRANSYLVANIA,DONALD J TRUMP,REPUBLICAN,35,20404,0.00171535
2020,NORTH CAROLINA,NC,TRANSYLVANIA,DONALD J TRUMP,REPUBLICAN,1034,20404,0.050676338
2020,NORTH CAROLINA,NC,TRANSYLVANIA,DONALD J TRUMP,REPUBLICAN,2694,20404,0.132032935
2020,NORTH CAROLINA,NC,TRANSYLVANIA,DONALD J TRUMP,REPUBLICAN,7873,20404,0.385855715
2020,NORTH CAROLINA,NC,TRANSYLVANIA,JOSEPH R BIDEN JR,DEMOCRAT,6,20404,0.00029406
2020,NORTH CAROLINA,NC,TRANSYLVANIA,JOSEPH R BIDEN JR,DEMOCRAT,679,20404,0.033277789
2020,NORTH CAROLINA,NC,TRANSYLVANIA,JOSEPH R BIDEN JR,DEMOCRAT,2848,20404,0.139580474
2020,NORTH CAROLINA,NC,TRANSYLVANIA,JOSEPH R BIDEN JR,DEMOCRAT,4911,20404,0.2406881
2016,NORTH CAROLINA,NC,TYRRELL,DONALD TRUMP,REPUBLICAN,975,1739,0.56066705
2016,NORTH CAROLINA,NC,TYRRELL,HILLARY CLINTON,DEMOCRAT,720,1739,0.414031052
2020,NORTH CAROLINA,NC,TYRRELL,DONALD J TRUMP,REPUBLICAN,47,1817,0.025866813
2020,NORTH CAROLINA,NC,TYRRELL,DONALD J TRUMP,REPUBLICAN,321,1817,0.176664832
2020,NORTH CAROLINA,NC,TYRRELL,DONALD J TRUMP,REPUBLICAN,676,1817,0.372041827
2020,NORTH CAROLINA,NC,TYRRELL,JOSEPH R BIDEN JR,DEMOCRAT,57,1817,0.031370391
2020,NORTH CAROLINA,NC,TYRRELL,JOSEPH R BIDEN JR,DEMOCRAT,241,1817,0.132636214
2020,NORTH CAROLINA,NC,TYRRELL,JOSEPH R BIDEN JR,DEMOCRAT,460,1817,0.253164557
2016,NORTH CAROLINA,NC,UNION,DONALD TRUMP,REPUBLICAN,66707,105710,0.631037745
2016,NORTH CAROLINA,NC,UNION,HILLARY CLINTON,DEMOCRAT,34337,105710,0.324822628
2020,NORTH CAROLINA,NC,UNION,DONALD J TRUMP,REPUBLICAN,229,131011,0.001747945
2020,NORTH CAROLINA,NC,UNION,DONALD J TRUMP,REPUBLICAN,6877,131011,0.052491775
2020,NORTH CAROLINA,NC,UNION,DONALD J TRUMP,REPUBLICAN,14548,131011,0.111044111
2020,NORTH CAROLINA,NC,UNION,DONALD J TRUMP,REPUBLICAN,58728,131011,0.448267703
2020,NORTH CAROLINA,NC,UNION,JOSEPH R BIDEN JR,DEMOCRAT,136,131011,0.001038081
2020,NORTH CAROLINA,NC,UNION,JOSEPH R BIDEN JR,DEMOCRAT,5232,131011,0.039935578
2020,NORTH CAROLINA,NC,UNION,JOSEPH R BIDEN JR,DEMOCRAT,12261,131011,0.093587561
2020,NORTH CAROLINA,NC,UNION,JOSEPH R BIDEN JR,DEMOCRAT,31096,131011,0.237354115
2016,NORTH CAROLINA,NC,VANCE,DONALD TRUMP,REPUBLICAN,7332,19977,0.367022075
2016,NORTH CAROLINA,NC,VANCE,HILLARY CLINTON,DEMOCRAT,12229,19977,0.612153977
2020,NORTH CAROLINA,NC,VANCE,DONALD J TRUMP,REPUBLICAN,2,20999,9.52426E-05
2020,NORTH CAROLINA,NC,VANCE,DONALD J TRUMP,REPUBLICAN,707,20999,0.03366827
2020,NORTH CAROLINA,NC,VANCE,DONALD J TRUMP,REPUBLICAN,1520,20999,0.072384399
2020,NORTH CAROLINA,NC,VANCE,DONALD J TRUMP,REPUBLICAN,6162,20999,0.293442545
2020,NORTH CAROLINA,NC,VANCE,JOSEPH R BIDEN JR,DEMOCRAT,7,20999,0.000333349
2020,NORTH CAROLINA,NC,VANCE,JOSEPH R BIDEN JR,DEMOCRAT,1745,20999,0.083099195
2020,NORTH CAROLINA,NC,VANCE,JOSEPH R BIDEN JR,DEMOCRAT,1819,20999,0.086623173
2020,NORTH CAROLINA,NC,VANCE,JOSEPH R BIDEN JR,DEMOCRAT,8860,20999,0.421924854
